component_key,component_name,qualifier,path,metric_key,metric_name,value
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,accepted_issues,Accepted Issues,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,alert_status,Quality Gate Status,OK
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,analysis_from_sonarqube_9_4,Analysis From SonarQube 9.4,true
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,blocker_violations,Blocker Issues,2
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,branch_coverage,Condition Coverage,86.6
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,bugs,Bugs,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,classes,Classes,55
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,code_smells,Code Smells,21
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,cognitive_complexity,Cognitive Complexity,59
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,comment_lines,Comment Lines,14
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,comment_lines_density,Comments (%),0.7
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,complexity,Cyclomatic Complexity,173
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,conditions_to_cover,Conditions to Cover,82
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,confirmed_issues,Confirmed Issues,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,coverage,Coverage,86.9
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,critical_violations,Critical Issues,5
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,development_cost,Development Cost,60480
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,duplicated_blocks,Duplicated Blocks,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,duplicated_files,Duplicated Files,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,duplicated_lines,Duplicated Lines,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,duplicated_lines_density,Duplicated Lines (%),0.0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,effort_to_reach_maintainability_rating_a,Effort to Reach Maintainability Rating A,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,effort_to_reach_software_quality_maintainability_rating_a,Effort to Reach Maintainability Rating A,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,false_positive_issues,False Positive Issues,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,files,Files,56
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,functions,Functions,113
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,high_impact_accepted_issues,Blocker and High Severity Accepted Issues,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,info_violations,Info Issues,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,issues_in_sandbox,Issues in Sandbox,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,last_commit_date,Date of Last Commit,1774312891595
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,line_coverage,Line Coverage,86.9
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,lines,Lines,2442
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,lines_to_cover,Lines to Cover,628
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,major_violations,Major Issues,9
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,minor_violations,Minor Issues,7
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,ncloc,Lines of Code,2016
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,new_accepted_issues,New Accepted Issues,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,new_blocker_violations,New Blocker Issues,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,new_bugs,New Bugs,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,new_code_smells,New Code Smells,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,new_conditions_to_cover,Conditions to Cover on New Code,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,new_critical_violations,New Critical Issues,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,new_development_cost,Development Cost on New Code,0.0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,new_duplicated_blocks,Duplicated Blocks on New Code,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,new_duplicated_lines,Duplicated Lines on New Code,0
com.ecommerce:ecommerce-backend,ecommerce-backend,TRK,,new_info_violations,New Info Issues,0
