GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ecommerce-backend,com.ecommerce.entity,Order.OrderBuilder,26,52,2,2,0,1,4,6,2,6
ecommerce-backend,com.ecommerce.entity,Order,27,55,0,0,1,11,6,10,6,10
ecommerce-backend,com.ecommerce.entity,CartItem,22,28,0,0,3,5,6,5,6,5
ecommerce-backend,com.ecommerce.entity,Category,21,26,0,0,3,4,5,5,5,5
ecommerce-backend,com.ecommerce.entity,Product,50,75,0,0,3,10,11,14,11,14
ecommerce-backend,com.ecommerce.entity,OrderStatus,0,21,0,0,0,4,0,1,0,1
ecommerce-backend,com.ecommerce.entity,Role,0,21,0,0,0,4,0,1,0,1
ecommerce-backend,com.ecommerce.entity,CartItem.CartItemBuilder,17,30,0,0,0,1,2,5,2,5
ecommerce-backend,com.ecommerce.entity,Product.ProductBuilder,44,90,4,4,0,1,7,9,3,9
ecommerce-backend,com.ecommerce.entity,OrderItem,29,40,0,0,4,6,8,6,8,6
ecommerce-backend,com.ecommerce.entity,Cart,25,22,0,0,3,4,6,4,6,4
ecommerce-backend,com.ecommerce.entity,OrderItem.OrderItemBuilder,20,37,0,0,0,1,2,6,2,6
ecommerce-backend,com.ecommerce.entity,Category.CategoryBuilder,17,30,1,1,0,1,3,4,2,4
ecommerce-backend,com.ecommerce.entity,Cart.CartBuilder,12,36,1,1,0,1,2,5,1,5
ecommerce-backend,com.ecommerce.entity,User.UserBuilder,32,53,1,1,0,1,4,7,3,7
ecommerce-backend,com.ecommerce.entity,User,39,48,0,0,4,7,10,8,10,8
ecommerce-backend,com.ecommerce.security,UserPrincipal,14,39,0,0,6,8,6,4,6,4
ecommerce-backend,com.ecommerce.security,CustomUserDetailsService,24,0,0,0,4,0,3,0,3,0
ecommerce-backend,com.ecommerce.security,JwtTokenProvider,81,0,0,0,27,0,6,0,6,0
ecommerce-backend,com.ecommerce.security,JwtAuthenticationFilter,73,0,8,0,17,0,7,0,3,0
ecommerce-backend,com.ecommerce.exception,GlobalExceptionHandler,65,0,4,0,11,0,8,0,6,0
ecommerce-backend,com.ecommerce.service,CategoryService,116,0,4,0,24,0,11,0,9,0
ecommerce-backend,com.ecommerce.service,ProductService,195,169,12,8,33,41,19,9,11,7
ecommerce-backend,com.ecommerce.service,OrderService,254,185,21,9,43,49,22,8,10,5
ecommerce-backend,com.ecommerce.service,CartService,233,165,12,6,40,45,21,8,14,6
ecommerce-backend,com.ecommerce.service,AuthService,5,130,1,3,1,30,1,4,0,3
ecommerce-backend,com.ecommerce.service,JwtTokenProviderService,12,0,0,0,2,0,2,0,2,0
ecommerce-backend,com.ecommerce,EcommerceApplication,8,0,0,0,3,0,2,0,2,0
ecommerce-backend,com.ecommerce.controller,AdminProductController,46,0,0,0,8,0,7,0,7,0
ecommerce-backend,com.ecommerce.controller,AdminCategoryController,37,0,0,0,7,0,6,0,6,0
ecommerce-backend,com.ecommerce.controller,CartController,47,0,0,0,7,0,6,0,6,0
ecommerce-backend,com.ecommerce.controller,OrderController,38,0,0,0,5,0,5,0,5,0
ecommerce-backend,com.ecommerce.controller,ProductController,21,0,0,0,3,0,3,0,3,0
ecommerce-backend,com.ecommerce.controller,AdminOrderController,27,0,0,0,4,0,4,0,4,0
ecommerce-backend,com.ecommerce.controller,CategoryController,17,0,0,0,3,0,3,0,3,0
ecommerce-backend,com.ecommerce.controller,AuthController,18,0,0,0,3,0,3,0,3,0
ecommerce-backend,com.ecommerce.config,WebConfig,41,0,0,0,9,0,2,0,2,0
ecommerce-backend,com.ecommerce.config,JwtProperties,20,0,0,0,8,0,5,0,5,0
ecommerce-backend,com.ecommerce.config,OpenApiConfig,35,0,0,0,9,0,2,0,2,0
ecommerce-backend,com.ecommerce.config,SecurityConfig,139,0,0,0,21,0,8,0,8,0
ecommerce-backend,com.ecommerce.config,DataInitializer,397,0,2,0,129,0,3,0,2,0
ecommerce-backend,com.ecommerce.dto,OrderDto,313,34,62,0,7,4,48,4,17,4
ecommerce-backend,com.ecommerce.dto,CategoryDto,124,0,22,0,5,0,21,0,10,0
ecommerce-backend,com.ecommerce.dto,ProductDto.ProductDtoBuilder,17,56,0,0,0,1,1,9,1,9
ecommerce-backend,com.ecommerce.dto,ProductDto,298,46,62,0,3,8,44,8,13,8
ecommerce-backend,com.ecommerce.dto,CartItemDto,271,31,54,0,6,4,42,4,15,4
ecommerce-backend,com.ecommerce.dto,PageResponse,258,0,30,0,11,0,36,0,21,0
ecommerce-backend,com.ecommerce.dto,CartDto.CartDtoBuilder,10,28,0,0,0,1,1,5,1,5
ecommerce-backend,com.ecommerce.dto,LoginRequest,109,15,22,0,2,3,18,3,7,3
ecommerce-backend,com.ecommerce.dto,OrderItemDto,237,22,46,0,7,2,38,2,15,2
ecommerce-backend,com.ecommerce.dto,RegisterRequest,146,21,30,0,2,4,23,4,8,4
ecommerce-backend,com.ecommerce.dto,OrderDto.OrderDtoBuilder,20,56,0,0,0,1,1,9,1,9
ecommerce-backend,com.ecommerce.dto,OrderStatusUpdateRequest,82,0,14,0,4,0,15,0,8,0
ecommerce-backend,com.ecommerce.dto,CartItemDto.CartItemDtoBuilder,16,49,0,0,0,1,1,8,1,8
ecommerce-backend,com.ecommerce.dto,PageResponse.PageResponseBuilder,73,0,0,0,1,0,10,0,10,0
