key,rule,severity,type,status,component,line,message,effort,creationDate
ec18c695-0e96-459f-8116-24dcf42aa110,typescript:S7763,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/api/index.ts,11,Use `export…from` to re-export `api`.,5min,2026-03-27T18:34:32+0100
0480b8f7-df21-499e-9fcd-cec3ddff28c8,typescript:S7763,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/api/index.ts,12,Use `export…from` to re-export `auth`.,5min,2026-03-27T18:34:32+0100
d46b4fbe-050f-40ca-a826-c437ed0755fb,typescript:S7763,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/api/index.ts,13,Use `export…from` to re-export `products`.,5min,2026-03-27T18:34:32+0100
4c180b34-dacd-4f25-82cf-b44a92dbf1fc,typescript:S7763,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/api/index.ts,14,Use `export…from` to re-export `categories`.,5min,2026-03-27T18:34:32+0100
d33ba6a5-cbb7-440c-9038-d776ebc482aa,typescript:S7763,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/api/index.ts,15,Use `export…from` to re-export `cart`.,5min,2026-03-27T18:34:32+0100
d00e4f46-50d3-4513-aaad-1a4ec9b79236,typescript:S7763,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/api/index.ts,16,Use `export…from` to re-export `orders`.,5min,2026-03-27T18:34:32+0100
247a7f5a-1869-444b-969d-98d326b627ca,typescript:S7763,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/api/index.ts,17,Use `export…from` to re-export `admin`.,5min,2026-03-27T18:34:32+0100
4e41adeb-280b-45df-85d8-d866c3efcc4e,typescript:S6759,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/components/AlertMessage.tsx,6,Mark the props of the component as read-only.,5min,2026-03-27T18:34:32+0100
a0341d9c-fce2-4d10-9769-ff0ddb042a17,typescript:S6759,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/components/OrderStatusBadge.tsx,6,Mark the props of the component as read-only.,5min,2026-03-27T18:34:32+0100
5576c66f-a75a-470f-b509-a71cfe18bf5c,typescript:S6759,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/components/PageContainer.tsx,8,Mark the props of the component as read-only.,5min,2026-03-27T18:34:32+0100
bab16583-b108-4446-9603-cb6cf7d7aa55,typescript:S6759,MINOR,CODE_SMELL,OPEN,ecommerce-frontend:src/routes/PrivateRoute.tsx,10,Mark the props of the component as read-only.,5min,2026-03-27T18:34:32+0100
483558cc-548f-4742-97c0-3edc0813ef06,css:S4658,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/base.css,,Unexpected empty block,1min,2026-03-26T14:50:42+0100
bb79b2d5-a0a0-41c9-b770-f7921d2cc861,css:S4658,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/base.css,,Unexpected empty block,1min,2026-03-26T14:50:42+0100
d09ad639-0ed7-40c1-9b1e-0a1b94eae816,css:S4666,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/base.css,,"Unexpected duplicate selector "".cbranch-no"", first used at line 165",1min,2026-03-26T14:50:42+0100
d4939cd1-80cd-4743-b717-c4b3eddc9e56,css:S4649,MAJOR,BUG,CLOSED,ecommerce-frontend:coverage/base.css,,Unexpected missing generic font family,1min,2026-03-26T14:50:42+0100
e48280fe-bb5c-4203-81a1-60e53978de99,css:S7924,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/base.css,,Text does not meet the minimal contrast requirement with its background.,5min,2026-03-26T14:50:42+0100
bdb22ce4-f80d-40fb-8d68-0a0c41c90cf1,javascript:S7724,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/block-navigation.js,,Specify the rules you want to disable.,5min,2026-03-26T14:50:42+0100
42f8d23b-2caf-467b-a7b6-f6e1da0f8bb6,javascript:S7724,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/sorter.js,,Specify the rules you want to disable.,5min,2026-03-26T14:50:42+0100
027ddae9-bc45-40bd-8865-f7325360ff39,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
063b7a9f-5e0c-491b-936e-55e933d41883,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
0ab3059d-e680-4353-875a-78dde4e0514b,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
103eab44-34fb-416d-97de-c6bb40c0f9d0,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
12934a63-9314-41e4-afee-a8bfe15c4398,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
13702e1c-a18f-4da2-9955-f296558ab268,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
1458e1a2-62bd-43f3-b16f-7f2cbedb3fcb,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
17de99b1-cfb5-4c3e-827e-06e02a3c4088,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
1a4ff6a0-f4a0-4467-ae0c-65a70eeddfeb,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
1b2efe8f-1230-4c64-a72b-5801390e596a,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
1bca11e7-d2f2-4826-9bc2-55863293ab7b,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
1c206c2d-b021-4fec-8539-ecab17422654,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
1f8bba4f-cdc6-475c-9931-187f1bdc1879,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
205f50d3-b73f-4dd2-a3ad-2c783ba4f98c,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
20c618b6-1f34-4544-9482-6edf09e9accf,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
22053166-776e-4b10-aaa4-abc977cd5c13,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
23da39b6-2ffd-4f9f-a0b0-2c210ab38dbd,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
29927003-ff63-46c3-8cb3-70febfc87825,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
2b4b7724-d83a-4a92-b4cc-a3de502a2d8c,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
2b55e2cf-3606-41bf-9cd7-b0a874118fb4,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
2b81aa8a-1f1a-45bc-b903-82b64e2ff88a,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
2f9d5c15-231e-4b93-add7-945b073b4de7,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
2ff09159-946b-40a5-915c-edfcc3749dc7,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
3050b426-814a-4f47-b556-f574bddf13b3,Web:S1827,MAJOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,"Remove this deprecated ""name"" attribute.",5min,2026-03-26T14:50:42+0100
30c4eb16-c23e-4ece-919b-22b54301c123,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
3281c382-b901-4859-8ba1-08ccc6e2f455,Web:S6827,MINOR,CODE_SMELL,CLOSED,ecommerce-frontend:coverage/src/App.tsx.html,,Anchors must have content and the content must be accessible by a screen reader.,5min,2026-03-26T14:50:42+0100
